[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - BankLabel, его свойство - BANK0]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - Capacity, его свойство - 2147483648]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - Caption, его свойство - Физическая память]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - CreationClassName, его свойство - Win32_PhysicalMemory]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - DataWidth, его свойство - 64]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - Description, его свойство - Физическая память]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - DeviceLocator, его свойство - DIMM0]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - FormFactor, его свойство - 8]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - InterleaveDataDepth, его свойство - 1]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - InterleavePosition, его свойство - 0]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - Manufacturer, его свойство - Manufacturer0]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - MemoryType, его свойство - 1]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - Name, его свойство - Физическая память]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - PartNumber, его свойство - PartNum0]
[30.11.2021 21:01:15.118] [Info ] [Лаба_1_ПО.exe()] [Параметр - PositionInRow, его свойство - 1]
[30.11.2021 21:01:15.133] [Info ] [Лаба_1_ПО.exe()] [Параметр - SerialNumber, его свойство - SerNum0]
[30.11.2021 21:01:15.133] [Info ] [Лаба_1_ПО.exe()] [Параметр - SMBIOSMemoryType, его свойство - 1]
[30.11.2021 21:01:15.133] [Info ] [Лаба_1_ПО.exe()] [Параметр - Speed, его свойство - 1066]
[30.11.2021 21:01:15.133] [Info ] [Лаба_1_ПО.exe()] [Параметр - Tag, его свойство - Physical Memory 0]
[30.11.2021 21:01:15.133] [Info ] [Лаба_1_ПО.exe()] [Параметр - TotalWidth, его свойство - 64]
[30.11.2021 21:01:15.133] [Info ] [Лаба_1_ПО.exe()] [Параметр - TypeDetail, его свойство - 128]
[30.11.2021 21:01:15.133] [Info ] [Лаба_1_ПО.exe()] [Параметр - BankLabel, его свойство - BANK1]
[30.11.2021 21:01:15.133] [Info ] [Лаба_1_ПО.exe()] [Параметр - Capacity, его свойство - 2147483648]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - Caption, его свойство - Физическая память]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - CreationClassName, его свойство - Win32_PhysicalMemory]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - DataWidth, его свойство - 64]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - Description, его свойство - Физическая память]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - DeviceLocator, его свойство - DIMM1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - FormFactor, его свойство - 8]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - InterleaveDataDepth, его свойство - 1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - InterleavePosition, его свойство - 0]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - Manufacturer, его свойство - Manufacturer1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - MemoryType, его свойство - 1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - Name, его свойство - Физическая память]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - PartNumber, его свойство - PartNum1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - PositionInRow, его свойство - 1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - SerialNumber, его свойство - SerNum1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - SMBIOSMemoryType, его свойство - 1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - Speed, его свойство - 1066]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - Tag, его свойство - Physical Memory 1]
[30.11.2021 21:01:15.149] [Info ] [Лаба_1_ПО.exe()] [Параметр - TotalWidth, его свойство - 64]
[30.11.2021 21:01:15.165] [Info ] [Лаба_1_ПО.exe()] [Параметр - TypeDetail, его свойство - 128]
